titre,prix,emplacement,type_de_vente,salon,chambre,toilette,surface,lien
Appartement à louer 146 m² à Casablanca,9 800 DH,Casablanca,NaN,2,NaN,NaN,146,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_146_m%C2%B2_%C3%A0_Casablanca_55724275.htm
Appartement à louer 40 m² à Casablanca,5 500 DH,Casablanca,NaN,0,NaN,NaN,40,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_louer_40_m%C2%B2_%C3%A0_Casablanca_55706003.htm
Apparte à louer diour jamaa,5 500 DH,Rabat,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/diour_jamaa/appartements/Apparte_%C3%A0_louer_diour_jamaa__55724270.htm
RBA-HA-1076 - Appartement à vendre à Hassan,1 500 000 DH,Rabat,"Appartements, à vendre",NaN,2,1,110,https://www.avito.ma/fr/hassan/appartements/RBA_HA_1076___Appartement_%C3%A0_vendre_%C3%A0_Hassan_55151566.htm
CMN-MA-1473 - Appartement à vendre à Maârif,900 000 DH,Casablanca,"Appartements, à vendre",NaN,1,1,53,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/CMN_MA_1473___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_54916665.htm
Appartement à vendre 59 m² à Deroua,280 000 DH,Deroua,"Appartements, à vendre",1,2,1,59,https://www.avito.ma/fr/deroua/appartements/Appartement_%C3%A0_vendre_59_m%C2%B2_%C3%A0_Deroua_55724261.htm
Dar 122m meublés wifi 2chambres,200 DH /Nuit,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/al_hadiqa/locations_de_vacances/Dar_122m_meubl%C3%A9s_wifi_2chambres__49776528.htm
belle appart vide 1etag 3ch 90m2 sur wafa,3 300 DH,Mohammedia,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/centre_ville/appartements/belle_appart_vide_1etag_3ch_90m2_sur_wafa_55602970.htm
Appartement meublé 3 chambre à louer à Kénitra,6 000 DH,القنيطرة,NaN,2,NaN,NaN,120,https://www.avito.ma/fr/centre/appartements/Appartement_meubl%C3%A9_3_chambre_%C3%A0_louer_%C3%A0_K%C3%A9nitra_55364927.htm
Appartement à vendre 115 m² à Casablanca,1 700 000 DH,Casablanca,"Appartements, à vendre",2,3,3,115,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Casablanca_55471363.htm
Appartement à vendre à Marina Golf Asilah,620 000 DH,Asilah,"Appartements, à vendre",1,1,1,52,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_%C3%A0_Marina_Golf_Asilah__55565345.htm
